dataset,condition,split,num_rows,num_image_clusters,risk,risk_label,method,method_label,aurc,oracle_aurc,random_aurc,excess_aurc,normalized_aurc,numerical_reference,absolute_error_mean,absolute_error_median,absolute_error_p95,absolute_error_max,spearman_rho,kendall_tau_b,exact_match_fraction
fives,clipseg-general,test,200,200,risk_dice,Dice risk,confidence_sdc,SDC,0.86492961794,0.834747815169,0.891901853806,0.030181802771,0.528078216181,,,,,,,,
fives,clipseg-general,test,200,200,risk_dice,Dice risk,confidence_mean_max_probability,Mean max probability,0.899161190539,0.834747815169,0.891901853806,0.0644133753699,1.12701353931,,,,,,,,
fives,clipseg-general,test,200,200,risk_dice,Dice risk,confidence_negative_entropy,Negative entropy,0.896820814013,0.834747815169,0.891901853806,0.0620729988442,1.08606496277,,,,,,,,
fives,clipseg-general,test,200,200,risk_dice,Dice risk,confidence_dice_exact,Dice-Exact,0.899038605965,0.834747815169,0.891901853806,0.0642907907964,1.12486872896,,,,,,,,
fives,clipseg-general,test,200,200,risk_dice,Dice risk,confidence_qfr_entropy,QFR-Entropy,0.895987862822,0.834747815169,0.891901853806,0.0612400476528,1.07149116866,,,,,,,,
fives,clipseg-general,test,200,200,risk_dice,Dice risk,confidence_plm10_entropy,PLM-10/PLA-10-Entropy,0.923762524509,0.834747815169,0.891901853806,0.0890147093401,1.55745265712,,,,,,,,
fives,clipseg-general,test,200,200,risk_dice,Dice risk,confidence_mmmc_entropy,MMMC-Entropy,0.891641427757,0.834747815169,0.891901853806,0.056893612588,0.995443435753,,,,,,,,
fives,clipseg-general,test,200,200,risk_dice,Dice risk,confidence_foreground_entropy,Foreground entropy,0.873255951499,0.834747815169,0.891901853806,0.0385081363305,0.673760546915,,,,,,,,
fives,clipseg-general,test,200,200,risk_dice,Dice risk,confidence_dice_m2,Dice-M2,0.891698412473,0.834747815169,0.891901853806,0.0569505973036,0.996440473181,confidence_dice_exact,0.109610297072,0.10963227088,0.207399177418,0.250424813148,0.95149760686,0.841014909605,0
fives,clipseg-general,test,200,200,risk_dice,Dice risk,confidence_dice_m8,Dice-M8,0.899631575858,0.834747815169,0.891901853806,0.0648837606892,1.13524367195,confidence_dice_exact,0.0126878317828,0.00993714030076,0.0366898666142,0.0512704253197,0.995794708765,0.952279270472,0
fives,clipseg-general,test,200,200,risk_dice,Dice risk,confidence_dice_m32,Dice-M32,0.898468399435,0.834747815169,0.891901853806,0.063720584266,1.11489206687,confidence_dice_exact,0.00196221038571,0.00100860650367,0.00877276563855,0.0147240161896,0.999614861234,0.991176361837,0
fives,clipseg-general,test,200,200,risk_dice,Dice risk,confidence_nhd_m2,nHD-M2,0.893626580514,0.834747815169,0.891901853806,0.0588787653447,1.0301768125,,,,,,,,
